date,O3_sc,NO2_sc,CO_sc,SO2_sc,SZA_sc,T_sc,RH_sc,WS_sc,WD_sc,HONO_sc
2016-05-22 18:00,0.426642133,0.074444792,0.333502546,0.123542768,0.625112847,0.745393289,0.253882207,0.060719311,0.04584787,0.121194715
2016-05-22 19:00,0.423792968,0.198206652,0.411260582,0.256434718,0.719655139,0.664466447,0.318990344,0.041417517,0.001893277,0.05192698
2016-05-22 20:00,0.422083468,0.26358044,0.495000006,0.48415409,0.804796148,0.580376788,0.415927871,0.031348927,0.395813299,0.150685362
2016-05-22 21:00,0.383741846,0.20665207,0.548832493,0.415370819,0.876047295,0.545242024,0.471474015,0.016180091,0.993892244,0.180230125
2016-05-22 22:00,0.079858029,0.735376916,0.621463625,0.2657839,0.927646228,0.490786579,0.469215277,0.005232149,0.003677601,0.47743132
2016-05-22 23:00,0.046319285,0.823897404,0.635989852,0.266451699,0.953543019,0.478204071,0.494964895,0.00995867,0.997766366,0.532530847
2016-05-23 0:00,0.004802878,0.87175477,0.640262272,0.25509912,0.949845171,0.425742574,0.542756037,0.009453042,0.100849602,0.648329047
2016-05-23 1:00,0.003907427,0.839745595,0.649661595,0.259105913,0.917150505,0.378850385,0.594801137,0.003869152,0.176033393,0.565389752
2016-05-23 2:00,0.003663212,0.743613805,0.634280884,0.249088932,0.860150987,0.354922992,0.650686092,0.017169363,0.388923382,0.679909623
2016-05-23 3:00,0.003866724,0.670107392,0.627445013,0.254431322,0.785001489,0.302186469,0.720989327,0.014377418,0.280978826,0.795836202
2016-05-23 4:00,0.018031145,0.518715462,0.560795267,0.24441434,0.697187097,0.290979098,0.735614659,0.030887267,0.940960132,0.745268113
2016-05-23 5:00,0.022060679,0.433114378,0.518925556,0.198336227,0.600868153,0.274133663,0.754738645,0.021720014,0.645093376,0.789211469
2016-05-23 6:00,0.010541911,0.41142738,0.512944168,0.245082139,0.499077766,0.302323982,0.748320063,0.019631551,0.03664285,0.701794207
2016-05-23 7:00,0.028410247,0.439891565,0.558231816,0.277136479,0.394174145,0.464933993,0.582641595,0.023039043,0.181979047,0.516591525
2016-05-23 8:00,0.054988888,0.509018872,0.609500851,0.201007422,0.288407842,0.549986249,0.418393661,0.05058477,0.03884302,0.28292933
2016-05-23 9:00,0.145429531,0.412991346,0.389044,0.17028868,0.184930167,0.64590209,0.313701131,0.095365811,0.988815097,0.199402762
2016-05-23 10:00,0.202819858,0.330935252,0.356573612,0.17563107,0.090786176,0.711633663,0.269749845,0.103961484,0.999052342,0.261615714
2016-05-23 11:00,0.292446453,0.218016891,0.338629449,0.17028868,0.027625528,0.758663366,0.240800346,0.097212452,0.133308887,0.155134104
2016-05-23 12:00,0.3311951,0.159211761,0.336065998,0.20768541,0.037897205,0.793523102,0.23381708,0.12137267,0.264187038,0.138539049
2016-05-23 13:00,NA,NA,NA,NA,0.112173473,0.813187569,0.254729234,0.113040802,0.758328821,0.362031377
2016-05-23 14:00,0.452203215,0.086018142,0.271979704,0.220707485,0.209693583,0.813531353,0.251661114,0.100070348,0.121557355,NA
2016-05-23 15:00,0.481223997,0.127619643,0.317267352,0.269790693,0.314090965,0.823844884,0.271274493,0.103192051,0.438368139,0.139773512
2016-05-23 16:00,0.454279035,0.42206235,0.556522848,0.746598996,0.419804123,0.763407591,0.339751915,0.10198294,0.984608771,0.092234917
2016-05-23 17:00,0.487736374,0.35001564,0.513798652,0.619049436,0.52404929,0.731985698,0.338904888,0.069952515,0.512128844,0.089541405
2016-05-23 18:00,0.429450596,0.363987071,0.477055844,0.615710442,0.624609367,0.693688119,0.332542775,0.080922441,0.434513159,0.111408293
2016-05-23 19:00,0.347272532,0.425086018,0.420659905,0.736582015,0.71900179,0.648308581,0.309164831,0.110402744,0.005347024,0.133735752
2016-05-23 20:00,0.27307213,0.332290689,0.389898484,0.452767549,0.803950932,0.57879538,0.451634762,0.082571228,0.045180987,0.183061014
2016-05-23 21:00,0.20078474,0.362006047,0.465947553,0.498177863,0.874974038,0.541322882,0.522615619,0.036910834,0.344713597,0.200115776
2016-05-23 22:00,0.164437533,0.395996246,0.504399329,0.464120127,0.926330242,0.523927393,0.549212265,0.018422441,0.829562237,0.317895519
2016-05-23 23:00,0.106477373,0.494526118,0.489018619,0.469462517,0.952013312,0.509625962,0.569390329,0.026776293,0.995613272,0.377960316
2016-05-24 0:00,0.171072017,0.428109686,0.464238585,0.419377612,0.94818014,0.538572607,0.465488358,0.070985754,0.202824823,0.272534663
2016-05-24 1:00,0.255488711,0.128036701,0.392461936,0.676480128,0.915446884,0.405046755,0.785419843,0.052167605,0.145627003,0.236601442
2016-05-24 2:00,0.232817497,0.07298509,0.395879872,0.719887046,0.858482629,0.340071507,0.902874245,0.066918748,0.844534078,0.066052378
2016-05-24 3:00,0.234852615,0.044729434,0.363409483,0.711205663,0.783405265,0.324394939,0.936567094,0.051596025,0.007981262,NA
2016-05-24 4:00,0.23184064,0.022729642,0.379644677,0.720554845,0.695671669,0.305968097,0.979671354,0.017125396,0.014132551,NA
2016-05-24 5:00,0.209698556,0.055572933,0.446294423,0.749270191,0.599425986,0.320269527,0.980236038,0.021478192,0.110967649,NA
2016-05-24 6:00,0.204651464,0.135543739,0.426641293,0.816717864,0.497692054,0.346947195,0.957460425,0.096838727,0.333210647,0.050805356
2016-05-24 7:00,0.129474206,0.256073402,0.436040616,0.844765412,0.392820255,0.354579208,0.971012856,0.065006155,0.216512823,0.050654673
2016-05-24 8:00,0.120478984,0.246168283,0.447148907,0.788002519,0.287049688,0.351760176,0.960283848,0.083538516,0.039971119,0.04732839
2016-05-24 9:00,0.157477429,0.211656762,0.43262268,0.634408807,0.183510613,0.320063256,0.944849135,0.091408723,0.595456243,NA
2016-05-24 10:00,0.199482264,0.201855907,0.347174289,0.589666291,0.089220452,0.301980198,0.942402168,0.057861414,0.433826754,0.031707197
2016-05-24 11:00,0.213158257,0.186529038,0.339483933,0.580984908,0.02595469,0.303630363,0.947672558,0.0595102,0.08256985,0.05979465
2016-05-24 12:00,0.26721099,0.12563862,0.333502546,0.59567648,0.03671985,0.342546755,0.899109681,0.099125044,0.977069307,0.092639436
2016-05-24 13:00,0.298348295,0.082994474,0.301032157,0.480147297,0.111542487,0.3419967,0.830782841,0.109259585,0.335284286,0.141609741
2016-05-24 14:00,0.290859061,0.080909186,0.342901869,0.427391196,0.209304301,0.361454896,0.799292262,0.089100422,0.99331959,0.086486041
2016-05-24 15:00,0.302174317,0.086643728,0.363409483,0.373967297,0.313779616,0.391432893,0.736367572,0.097212452,0.910568479,NA
2016-05-24 16:00,0.30998917,0.091022834,0.325812191,0.371296102,0.41948589,0.420035754,0.695032658,0.090793176,0.283174103,NA
2016-05-24 17:00,0.294603678,0.142008133,0.348883256,0.343248555,0.523669821,0.429867987,0.683738965,0.102576504,0.937194603,NA
2016-05-24 18:00,0.297249332,0.140861224,0.362554999,0.311862014,0.62412507,0.399064906,0.675682798,0.094816215,0.162173767,NA
